,sentiment,sentiment,patriotism,patriotism,economic,economic,conspiratorial,conspiratorial,religious,religious,racist,racist,ethic,ethic,political,political,propaganda,propaganda
,corr,p,corr,p,corr,p,corr,p,corr,p,corr,p,corr,p,corr,p,corr,p
weat_5,0.8892383595436323,1.5175324216083944e-16,,,,,,,,,,,,,0.7996247654784241,6.0794993552133e-10,0.8583369518019973,6.311457785123781e-15
