,sentiment,sentiment,patriotism,patriotism,economic,economic,conspiratorial,conspiratorial,religious,religious,racist,racist,ethic,ethic,political,political,propaganda,propaganda
,corr,p,corr,p,corr,p,corr,p,corr,p,corr,p,corr,p,corr,p,corr,p
weat_5,0.7601127554615926,2.169725052202727e-09,,,,,,,,,,,,,0.6245473603964169,4.487028882977521e-07,0.6733384262796027,1.277495429213882e-05
